sub,day,condition,global_standard,order2,jhana_strength_nimitta,jhana_stabilit_j1,jhana_stabilit_j2,jhana_stabilit_j3,jhana_stabilit_j4,jhana_stabilit_jbeeps,jhana_fading_j1,jhana_fading_j2,jhana_fading_j3,jhana_fading_j4,jhana_fading_beeps,jhana_choice_beeps,jhana_beep_distraction,mindfulness_stability_before_beeps,mindfulness_stability_during_beeps,mindfulness_fading_before_beeps,mindfulness_fading_during_beeps,mindfulness_jhana_before_beeps,mindfulness_jhana_during_beeps,mindfulness_beep_distraction,dat,MODTAS_sum,MODTAS_sum_repeated,dat_average,meditation_depth_before,meditation_depth_mean
20,control,control,,,,,,,,,,,,,,,,9,6,4,2,0,0,5,,59,59,,,
21,control,control,,,,,,,,,,,,,,,,8,6,8,6,0,0,6,,65,65,,,
22,control,control,,,,,,,,,,,,,,,,9,3,5,0,1,0,9,,93,93,,,
0,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.06744,,,,,
1,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.3912,,,,,
2,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.35031,,,,,
3,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.8296,,,,,
4,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.79196,,,,,
5,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,8.38516,,,,,
6,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.84934,,,,,
7,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.45015,,,,,
8,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.08303,,,,,
9,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.96135,,,,,
0,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,8.65858,,,,,
1,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,7.55374,,,,,
2,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,6.40068,,,,,
3,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,8.43235,,,,,
4,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,7.54261,,,,,
5,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,7.98668,,,,,
6,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,8.35041,,,,,
7,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,7.91989,,,,,
8,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,8.15799,,,,,
9,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,7.80576,,,,,
