sub,day,condition,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,average_corr,delta,theta,alpha,beta,gamma
2,day2,mindfulness,0.5253,0.7858,0.6208,0.8609,0.3447,2.1994,0.4968,2.2526,2.5054,2.5017,0.391,0.1776
2,day3,jhana,0.4943,0.7946,0.607,0.8368,0.3241,2.5721,0.3938,7.521,4.018,4.1917,0.5157,0.1579
2,day3,mindfulness,0.477,0.7851,0.6011,0.8014,0.303,2.5775,0.4756,11.5092,3.8181,2.7132,0.4778,0.2266
2,day4,jhana,0.4329,0.796,0.5665,0.7573,0.2711,3.2386,0.5123,14.8812,5.5711,5.7268,0.5385,0.1192
2,day4,mindfulness,0.2708,0.7766,0.399,0.4717,0.1441,5.4693,0.752,104.6996,11.0624,6.2489,1.0414,0.2911
3,day1,jhana,0.4048,0.7489,0.5509,0.6473,0.2348,2.9255,0.4617,15.8465,3.8849,14.8494,1.9103,0.2856
3,day1,mindfulness,0.4108,0.7564,0.5699,0.6587,0.2417,3.0255,0.3938,7.4513,2.1288,26.4506,1.7738,0.1856
3,day2,jhana,0.3948,0.7528,0.5581,0.6248,0.2288,3.4436,0.6222,15.7417,2.9196,41.8771,2.7721,0.3214
3,day2,mindfulness,0.4085,0.7586,0.5845,0.6645,0.2449,3.043,0.6107,10.8911,2.8254,17.2336,1.5876,0.4323
3,day3,jhana,0.2966,0.7364,0.4748,0.4762,0.1547,4.7167,0.6648,45.2219,4.0665,26.356,2.186,0.1689
