sub,day,condition,button,jhana,ch_name,n_epochs,n_channels,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,nk_fsi,nk_lle,nk_sampen,nk_pen,nk_lzc,delta,theta,alpha,beta,gamma
0,day2,mindfulness,all,all,CP6,416,29,0.5577,0.9383,0.6223,1.2245,0.397,3.2736,1.9476,8.1785,1.2239,0.9383,0.624,8.6203,3.4971,17.6591,1.8232,0.1818
0,day2,mindfulness,all,all,P7,416,29,0.6208,0.9703,0.658,1.416,0.4781,3.0736,2.0691,7.5356,1.4154,0.9703,0.649,7.6167,3.6852,15.7993,1.4101,0.2288
0,day2,mindfulness,all,all,P3,416,29,0.5384,0.9141,0.6076,1.1539,0.3712,3.195,1.9105,8.4183,1.1534,0.9141,0.5367,10.2878,5.0705,26.6325,2.8769,0.2218
0,day2,mindfulness,all,all,Pz,416,29,0.5005,0.8808,0.5571,1.0345,0.3385,3.1104,1.8273,8.7845,1.034,0.8808,0.5491,12.2527,6.4276,47.6482,3.8766,0.2388
0,day2,mindfulness,all,all,P4,416,29,0.516,0.9008,0.5738,1.0979,0.3571,3.1669,1.8849,8.5401,1.0974,0.9008,0.5117,10.1844,4.9626,35.6584,3.005,0.2134
0,day2,mindfulness,all,all,P8,416,29,0.5255,0.9247,0.5703,1.1475,0.3764,3.2234,2.0242,8.1801,1.1469,0.9247,0.5367,7.9361,3.6779,32.1086,2.2027,0.2128
0,day2,mindfulness,all,all,O1,416,29,0.5155,0.9199,0.562,1.1379,0.3636,3.3144,1.9486,8.282,1.1374,0.9199,0.5991,10.0386,5.4036,40.9512,2.4262,0.2317
0,day2,mindfulness,all,all,Oz,416,29,0.5374,0.9318,0.5864,1.1863,0.3792,3.3458,1.924,8.21,1.1857,0.9318,0.5866,9.0594,4.4377,26.3107,1.8439,0.1964
0,day2,mindfulness,all,all,O2,416,29,0.5219,0.9174,0.5677,1.1292,0.367,3.244,1.9516,8.2742,1.1287,0.9174,0.5491,9.6042,4.8767,35.5052,2.4587,0.2268
0,day3,jhana,all,all,Fp1,349,23,0.7108,0.9789,0.7048,1.5646,0.6027,2.7511,2.2887,6.9485,1.564,0.9789,0.6739,9.388,2.7554,12.0763,0.8824,0.3758
0,day3,jhana,all,all,Fpz,349,23,0.7034,0.9768,0.693,1.5465,0.5922,2.7752,2.2396,6.9579,1.546,0.9768,0.6864,9.0524,3.1188,13.1609,0.8763,0.3685
0,day3,jhana,all,all,Fp2,349,23,0.6858,0.9799,0.6929,1.5201,0.5752,2.8835,2.2178,7.1525,1.5195,0.9799,0.5367,11.9257,2.5883,11.3333,0.8082,0.3725
0,day3,jhana,all,all,AF3,349,23,0.6921,0.9727,0.6839,1.5221,0.5708,2.7715,2.2058,7.0525,1.5217,0.9727,0.6739,7.6031,3.8303,15.4357,1.0079,0.3795
0,day3,jhana,all,all,AF4,349,23,0.6936,0.9744,0.6876,1.5312,0.5768,2.7572,2.1676,7.0305,1.5306,0.9744,0.6989,7.2658,3.5619,14.1765,0.9003,0.3822
0,day3,jhana,all,all,F7,349,23,0.7094,0.9818,0.735,1.5822,0.6165,2.6771,2.1728,6.9448,1.5816,0.9818,0.6615,8.8152,2.2574,8.334,0.8375,0.3523
0,day3,jhana,all,all,F3,349,23,0.6612,0.9673,0.6722,1.4691,0.5356,2.8481,2.1118,7.2382,1.4685,0.9673,0.6365,6.6667,4.6889,17.3334,1.1217,0.3741
0,day3,jhana,all,all,Fz,349,23,0.6364,0.9608,0.6503,1.4173,0.5029,2.9238,2.0831,7.3722,1.4167,0.9608,0.5866,7.7188,6.8687,22.6859,1.2881,0.4385
0,day3,jhana,all,all,F4,349,23,0.6781,0.9685,0.6807,1.5015,0.5545,2.7576,2.1204,7.1609,1.5009,0.9685,0.6739,6.2061,4.352,15.5196,0.9983,0.4077
0,day3,jhana,all,all,F8,349,23,0.7602,0.9829,0.7611,1.6699,0.6889,2.4192,2.2573,6.669,1.6693,0.9829,0.7863,3.8012,1.4232,5.4255,0.5312,0.2785
0,day3,jhana,all,all,FC5,349,23,0.7191,0.977,0.727,1.598,0.6173,2.56,2.1544,6.898,1.5973,0.977,0.649,4.8703,2.8481,10.5475,0.9779,0.3314
0,day3,jhana,all,all,FC1,349,23,0.6563,0.9616,0.6747,1.4544,0.5242,2.8186,2.0953,7.2932,1.4537,0.9616,0.6739,6.8545,5.549,19.0331,1.4172,0.4107
0,day3,jhana,all,all,FC2,349,23,0.6427,0.9579,0.6703,1.4166,0.5042,2.8833,2.0981,7.4626,1.416,0.9579,0.5866,7.872,5.7653,19.3584,1.4646,0.4298
0,day3,jhana,all,all,FC6,349,23,0.7595,0.9813,0.7673,1.6799,0.6867,2.3645,2.1939,6.6991,1.6792,0.9813,0.7613,3.9673,1.9165,6.383,0.7221,0.3297
0,day3,jhana,all,all,T7,349,23,0.7732,0.9847,0.78,1.7121,0.7039,2.3084,2.1752,6.5817,1.7114,0.9847,0.7363,3.8112,1.9885,6.4549,0.8913,0.3196
0,day3,jhana,all,all,C3,349,23,0.6526,0.9647,0.6839,1.4532,0.5214,2.8592,2.0422,7.4493,1.4526,0.9647,0.6115,12.491,3.9125,14.3683,1.655,0.3531
0,day3,jhana,all,all,Cz,349,23,0.6451,0.9505,0.6784,1.4066,0.4989,2.8221,2.0859,7.4589,1.406,0.9505,0.5866,7.9951,5.3134,21.6297,2.2824,0.4042
0,day3,jhana,all,all,T8,349,23,0.8797,0.9859,0.875,1.8749,0.9008,1.7749,2.4135,5.9064,1.8743,0.9859,0.9236,2.4889,0.8777,3.4432,0.7712,0.5273
0,day3,jhana,all,all,CP5,349,23,0.7317,0.9758,0.7453,1.6134,0.6309,2.4848,2.1675,6.8515,1.6128,0.9758,0.624,4.7037,2.5762,9.9478,1.3521,0.3361
0,day3,jhana,all,all,CP1,349,23,0.6541,0.9522,0.6871,1.4271,0.5132,2.7672,2.1137,7.3994,1.4266,0.9522,0.5866,7.4956,4.4143,20.0277,2.597,0.3541
0,day3,jhana,all,all,CP2,349,23,0.6338,0.9451,0.6632,1.3698,0.4858,2.8473,2.1095,7.5438,1.3692,0.9451,0.5866,8.2377,4.7471,26.4017,2.8413,0.3552
0,day3,jhana,all,all,P7,349,23,0.7338,0.9791,0.7163,1.6363,0.6373,2.4645,2.196,6.711,1.6356,0.9791,0.649,4.4865,2.6679,16.6955,1.4274,0.3933
