sub,day,condition,button,jhana,ch_name,n_epochs_x,n_channels_x,Mean_SCL,Num_SCRs,Mean_SCR_Amplitude,Mean_HR,SDNN,RMSSD,LF,HF,LF_HF_Ratio,Mean_RR,Mean_Amplitude,Mean_Cycle_Duration,RR_Variability,Amplitude_Variability,Cycle_Duration_Variability,n_epochs_y,n_channels_y,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,nk_fsi,nk_lle,nk_sampen,nk_pen,nk_lzc,delta,theta,alpha,beta,gamma,global_standard,order2,jhana_strength_nimitta,jhana_stabilit_j1,jhana_stabilit_j2,jhana_stabilit_j3,jhana_stabilit_j4,jhana_stabilit_jbeeps,jhana_fading_j1,jhana_fading_j2,jhana_fading_j3,jhana_fading_j4,jhana_fading_beeps,jhana_choice_beeps,jhana_beep_distraction,mindfulness_stability_before_beeps,mindfulness_stability_during_beeps,mindfulness_fading_before_beeps,mindfulness_fading_during_beeps,mindfulness_jhana_before_beeps,mindfulness_jhana_during_beeps,mindfulness_beep_distraction,dat,MODTAS_sum,MODTAS_sum_repeated,dat_average,meditation_depth_before,meditation_depth_mean
2,day3,jhana,all,all,,,,3.552,387744,15.254,70.703,26.052,13.788,3.356,0.721,4.654,7.864,0.717,7.809,1.298,0.094,1.141,463.0,32.0,0.6819862068965518,0.9853689655172414,0.7123275862068965,1.5626206896551724,0.6090551724137931,2.7608620689655172,2.1605413793103447,7.0521206896551725,1.562,0.9853689655172414,0.7109517241379311,6.120862068965517,3.3102275862068966,4.456317241379311,0.5532068965517241,0.27945172413793107,1.0,2.0,7.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,,4.0,7.0,,,,,,,,6.77479,,69.0,,9.0,8.0
2,day3,mindfulness,all,all,,,,6.942,385952,14.046,71.944,26.934,17.522,11.392,1.86,6.124,7.933,0.745,7.652,0.858,0.093,0.828,392.0,29.0,0.6561125,0.982509375,0.701925,1.50235625,0.57255625,2.93815,2.1212375,7.304475,1.501725,0.982509375,0.5448500000000001,5.540834375,3.9024625,4.6185,0.54610625,0.219203125,1.0,1.0,,,,,,,,,,,,,,8.0,6.0,6.0,7.0,0.0,0.0,4.0,6.47792,,69.0,,8.0,7.0
2,day4,jhana,all,all,,,,6.239,387552,19.326,69.2,31.835,18.833,9.345,2.041,4.578,7.782,1.111,7.899,1.324,0.17,1.177,413.0,32.0,0.6065807692307692,0.9831384615384615,0.6717192307692308,1.4185384615384615,0.53105,3.3125923076923076,1.9376076923076924,7.454723076923077,1.4179384615384616,0.9831384615384615,0.5534653846153846,13.887996153846153,3.922053846153846,3.9741961538461537,0.6192884615384616,0.3958423076923077,2.0,1.0,8.5,8.0,8.0,8.0,9.0,7.0,6.0,7.0,7.0,8.0,6.0,4.0,4.0,,,,,,,,6.76268,,69.0,,8.0,7.5
2,day4,mindfulness,all,all,,,,4.012,391320,10.482,68.366,52.483,29.418,0.837,1.556,0.538,7.988,1.185,7.69,1.28,0.123,1.152,411.0,26.0,0.4065068965517242,0.979103448275862,0.4629206896551724,0.9554586206896553,0.31121379310344827,5.548903448275863,1.6478896551724138,8.769996551724137,0.9549103448275862,0.979103448275862,0.31846551724137934,67.80543448275863,6.230055172413793,5.527520689655173,0.6807620689655173,0.2658379310344828,2.0,2.0,,,,,,,,,,,,,,7.0,6.0,5.0,6.0,0.0,0.0,6.0,6.64044,,69.0,,7.0,6.5
3,day1,jhana,all,all,,,,11.85,384096,57.391,78.62,41.529,22.482,14.714,1.939,7.59,5.355,0.507,12.351,2.006,0.122,3.453,279.0,29.0,0.5342866666666667,0.9582433333333333,0.6095,1.1934366666666667,0.38542,3.795266666666667,2.0110366666666666,8.09379,1.1928633333333332,0.9582433333333333,0.55413,28.040623333333333,4.61008,11.679053333333334,1.58035,0.24057666666666666,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,10.0,,,,,,,,8.33433,74.0,74.0,8.31567875,0.0,0.0
3,day1,mindfulness,all,all,,,,15.295,380432,24.971,81.241,38.381,17.955,12.046,2.242,5.373,6.243,0.869,10.636,2.478,0.069,2.807,290.0,30.0,0.5162678571428572,0.9488357142857142,0.62195,1.1450285714285715,0.3661928571428571,3.8929785714285714,1.9870785714285712,7.954317857142857,1.1444714285714286,0.9488357142857142,0.6057392857142857,19.57426785714286,3.4647964285714288,11.293885714285713,1.51155,0.2658357142857143,1.0,1.0,,,,,,,,,,,,,,2.0,2.0,7.0,7.0,0.0,0.0,8.0,8.87163,,74.0,,2.0,2.0
3,day2,jhana,all,all,,,,7.736,383320,24.816,80.956,62.647,87.191,13.218,12.351,1.07,4.381,2.21,14.518,1.38,0.177,2.767,320.0,28.0,0.568184375,0.96219375,0.654921875,1.272371875,0.421403125,3.52698125,2.084953125,7.627015625,1.27178125,0.96219375,0.4294125,12.7813875,3.511840625,13.5292125,1.468834375,0.2855625,2.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,,,,,,,,8.07414,,74.0,,0.0,0.5
3,day2,mindfulness,all,all,,,,4.985,380848,10.89,79.112,55.723,46.194,0.929,0.671,1.385,6.213,2.149,11.264,2.859,0.273,3.836,267.0,32.0,0.5659566666666667,0.9630133333333333,0.6672233333333334,1.29172,0.43053,3.476156666666667,2.01004,7.507456666666667,1.2911233333333334,0.9630133333333333,0.5828266666666667,9.860256666666666,3.4412266666666667,13.088246666666667,1.42164,0.29585333333333336,2.0,2.0,,,,,,,,,,,,,,6.0,3.0,2.0,2.0,0.0,0.0,6.0,7.90535,,74.0,,6.0,4.5
3,day3,jhana,all,all,,,,12.854,385616,30.917,73.208,45.46,19.473,14.799,1.334,11.093,3.77,2.006,16.749,1.16,0.277,3.021,292.0,30.0,0.45185185185185184,0.9579185185185186,0.5768,1.0156222222222222,0.31019629629629625,4.6692,1.8501888888888889,8.433085185185185,1.0150666666666668,0.9579185185185186,0.5260259259259259,26.79918888888889,3.954211111111111,11.351303703703705,1.2790037037037036,0.16554814814814817,1.0,2.0,6.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,9.0,,,,,,,,8.2915,,74.0,,2.0,2.0
3,day3,mindfulness,all,all,,,,11.463,385464,70.959,75.687,37.392,16.233,16.466,1.821,9.041,4.947,2.278,13.177,1.877,0.206,2.98,180.0,27.0,0.4816,0.9568392857142857,0.6032464285714286,1.0791428571428572,0.3405107142857143,4.4291285714285715,1.900425,8.090760714285715,1.0786035714285716,0.9568392857142857,0.49476785714285715,23.642642857142857,3.7350678571428575,11.682017857142856,1.3188071428571428,0.2951714285714286,1.0,1.0,,,,,,,,,,,,,,5.0,3.0,6.0,6.0,0.0,0.0,5.0,8.63654,,74.0,,5.0,4.0
