,Mean_SCL,Num_SCRs,Mean_SCR_Amplitude,Mean_HR,SDNN,RMSSD,LF,HF,LF_HF_Ratio,Mean_RR,Mean_Amplitude,Mean_Cycle_Duration,RR_Variability,Amplitude_Variability,Cycle_Duration_Variability,n_epochs_y,n_channels_y,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,nk_fsi,nk_lle,nk_sampen,nk_pen,nk_lzc,delta,theta,alpha,beta,gamma
Mean_Amplitude,-0.1932191974363414,-0.1961370164607078,0.10706130564248183,0.1752748996806639,0.12851430979410577,0.16628155827204508,0.10512747111679001,0.05822356301184074,-0.08430805073421167,-0.29462092029174947,1.0,0.28593416120716947,-0.3275073770535614,0.2522045177690316,0.07639044116907723,-0.16037109238432237,0.0285365276273603,0.16049754657411155,0.2026919986572356,0.15423289466281673,0.1611188662192286,0.16801852263125097,-0.08475055964548818,0.16897557996646473,-0.2679162706146472,0.16112268089026177,0.2026919986572356,0.04617960639007757,0.008219809385795633,-0.2784042545871817,-0.050112076105745695,0.12097335761877075,0.14760972817261803
Mean_Cycle_Duration,0.2214878096242707,-0.13710508615102035,0.42374362859532666,0.1899769039762826,0.3866250771474723,0.2756245844946473,0.4419739343822493,-0.0707061939010392,0.5041059802510216,-0.8769034177288466,0.28593416120716947,1.0,-0.48093476606507324,-0.1507688279858151,0.6613224889685098,-0.3291957357439497,0.13790180807290311,0.09737420906016617,0.11407427438406713,0.10861476069529001,0.12096770267455932,0.07187080167451493,-0.11448732351024457,0.012749559611382065,-0.1868697608161155,0.12095683918606688,0.11407427438406713,0.13077369046674672,-0.05220024217471874,-0.3289070755477639,-0.15393188411452943,0.10359573940567389,0.1443646153067361
RR_Variability,0.10479431122430885,0.04885092472477,-0.04865876613197244,-0.24822912926446722,-0.1843123094551785,-0.11491770695156951,-0.29608670507179125,-0.00884454372824357,-0.1656017896008626,0.6649663770971533,-0.3275073770535614,-0.48093476606507324,1.0,0.12425052126497807,0.2216722725924086,0.07945746862565403,-0.13742075037296178,-0.21710334814208912,-0.3016417489923431,-0.19493601069845598,-0.25889675160524694,-0.20939240391537317,0.2182049831280483,-0.14492536221631377,0.35956833572619523,-0.258886735829873,-0.3016417489923431,-0.17833743016084289,0.08284198377254333,0.3782598299109446,0.2609230053137667,0.06114145312059355,-0.053410303536830996
Amplitude_Variability,0.08561906219214417,-0.26613438474703827,0.23792970008895187,-0.09078535795212553,-0.1279712038761537,-0.06707914380006025,-0.0562549459733425,0.010443497938099221,-0.15268731672121566,0.16359969055779625,0.2522045177690316,-0.1507688279858151,0.12425052126497807,1.0,-0.043046161934370664,-0.0011723294512088445,0.021488803621620624,-0.09542494038373368,-0.11254690299344244,-0.13947069316445965,-0.12231353407927992,-0.10164608662882829,0.1532338059057578,-0.06268973861335236,0.10643996081558506,-0.12230508620872789,-0.11254690299344244,-0.11675459299299859,0.19456452812024227,0.1575984993598867,0.22088266480570357,0.171518846486356,0.07311462095223503
Cycle_Duration_Variability,0.3510436877718579,-0.07753240744566853,0.407714084977884,0.00532534879380844,0.27948042775839993,0.15137738224484026,0.23539445727904845,-0.09819813277342468,0.34637608644758777,-0.425579173566235,0.07639044116907723,0.6613224889685098,0.2216722725924086,-0.043046161934370664,1.0,-0.2906542915911292,0.05909135019598217,-0.051104352125014504,-0.1698702548513421,-0.018297469700381173,-0.0687207307479881,-0.07947243111604106,0.04160383523645128,-0.08617136961558262,0.07243663657369695,-0.06872386211769964,-0.1698702548513421,0.032002566495877245,0.037129690603604555,-0.018910234004684334,0.11583972604763697,0.22645995058008397,0.1288400924922211
n_epochs_y,-0.07569536029301296,0.030183888774090745,-0.06510260057813312,0.06689766478597686,-0.0814731650086718,-0.12756309782712358,-0.19645875529565437,-0.013425780892788097,-0.17533944196444468,0.23200235701693256,-0.16037109238432237,-0.3291957357439497,0.07945746862565403,-0.0011723294512088445,-0.2906542915911292,1.0,0.15437663596762238,0.05553777301063869,-0.09524606626074526,0.02848588636532454,0.06793109409782817,0.00836982646754411,-0.16823526807840405,-0.01971366612926457,0.03170931082655543,0.06793004569859333,-0.09524606626074526,0.09849991225544286,-0.1635037024683157,0.1409410915933338,0.14995417555740304,-0.05746003319280484,-0.12559599087532786
n_channels_y,0.0758916457935392,0.0607833771291762,0.20726820927041217,0.21534876669607736,0.11356469944727754,-0.001684574189733293,0.1191202337985502,0.011734215265381012,0.0375282331636906,-0.18571660414958974,0.0285365276273603,0.13790180807290311,-0.13742075037296178,0.021488803621620624,0.05909135019598217,0.15437663596762238,1.0,-0.00022292528913201917,-0.12633983987066344,0.011436790175378181,0.0073886224110696905,-0.03573946282354766,-0.13447928239834178,0.009800611589272697,0.03172561019814104,0.007384414358699884,-0.12633983987066344,-0.0011856928307107095,-0.10986814780993398,0.017014818891386365,0.19400405606127913,0.18357657598334964,0.088942196766414
lempel_ziv_norm,-0.26449846444248665,0.07615637349240106,-0.07632764542105194,0.148581213593694,0.00804011311815395,-0.09037698290296461,-0.08733814624172694,-0.15830346124621747,0.09576463480677927,-0.26438880691977973,0.16049754657411155,0.09737420906016617,-0.21710334814208912,-0.09542494038373368,-0.051104352125014504,0.05553777301063869,-0.00022292528913201917,1.0,0.5930210705491126,0.9769393278212213,0.9897797237097431,0.9824696423101057,-0.919267276076509,0.8211224909227645,-0.909885021812966,0.9897849805060012,0.5930210705491126,0.7728977172708013,-0.6738341238939335,-0.559182464253369,-0.34970917635955917,0.10418615724459276,0.37789498968051655
permutation_entropy,-0.4553261529472319,-0.01743873052212588,-0.13551233412306435,0.057370646719834106,-0.030838721927145964,0.012383816047887483,-0.0731880869459016,0.007122886350199157,0.003385060920365421,-0.2608100570342358,0.2026919986572356,0.11407427438406713,-0.3016417489923431,-0.11254690299344244,-0.1698702548513421,-0.09524606626074526,-0.12633983987066344,0.5930210705491126,1.0,0.5750819366109662,0.662183730369118,0.6670621129279244,-0.38010277051350083,0.47616932643152454,-0.7898062344219118,0.6621682111526906,1.0,0.4188666440724972,-0.14400871481121075,-0.7795688816783546,-0.7796724350538401,-0.3525768738427993,0.1031091063621587
spectral_entropy,-0.2491171072673272,0.11265454734471048,-0.10781919293264304,0.16239601677331342,-0.00078355362890764,-0.10002649170265081,-0.10573343467627423,-0.14911687293066792,0.07948837274481765,-0.25733899322599213,0.15423289466281673,0.10861476069529001,-0.19493601069845598,-0.13947069316445965,-0.018297469700381173,0.02848588636532454,0.011436790175378181,0.9769393278212213,0.5750819366109662,1.0,0.9676808216467236,0.9700210281008662,-0.9129645668572107,0.8376089566694901,-0.9086972331550356,0.967686084424551,0.5750819366109661,0.7564281166571158,-0.6827039982173441,-0.5545679265452457,-0.3802591602908438,0.09890503886306892,0.3717279947553137
